"Belgium","Belgium Jupiler League","2008/2009","34","16","1.6307","1.1634","2.7941","855"
"England","England Premier League","2008/2009","38","20","1.4000","1.0789","2.4789","942"
"France","France Ligue 1","2008/2009","38","20","1.2868","0.9711","2.2579","858"
"Germany","Germany 1. Bundesliga","2008/2009","34","18","1.6993","1.2222","2.9216","894"
"Italy","Italy Serie A","2008/2009","38","20","1.5211","1.0789","2.6000","988"
"Netherlands","Netherlands Eredivisie","2008/2009","34","17","1.7124","1.1307","2.8431","870"
"Poland","Poland Ekstraklasa","2008/2009","30","15","1.3375","0.8458","2.1833","524"
"Portugal","Portugal Liga ZON Sagres","2008/2009","30","14","1.2333","1.0667","2.3000","552"
"Scotland","Scotland Premier League","2008/2009","38","12","1.3202","1.0833","2.4035","548"
"Spain","Spain LIGA BBVA","2008/2009","38","20","1.6605","1.2368","2.8974","1101"
"Switzerland","Switzerland Super League","2008/2009","36","10","1.7556","1.2444","3.0000","540"
"Belgium","Belgium Jupiler League","2009/2010","30","15","1.4667","1.2238","2.6905","565"
"England","England Premier League","2009/2010","38","20","1.6974","1.0737","2.7711","1053"
"France","France Ligue 1","2009/2010","38","20","1.3895","1.0211","2.4105","916"
"Germany","Germany 1. Bundesliga","2009/2010","34","18","1.5131","1.3170","2.8301","866"
"Italy","Italy Serie A","2009/2010","38","20","1.5421","1.0684","2.6105","992"
"Netherlands","Netherlands Eredivisie","2009/2010","34","18","1.7255","1.1895","2.9150","892"
"Poland","Poland Ekstraklasa","2009/2010","30","16","1.2458","0.9708","2.2167","532"
"Portugal","Portugal Liga ZON Sagres","2009/2010","30","16","1.3875","1.1167","2.5042","601"
"Scotland","Scotland Premier League","2009/2010","38","12","1.4079","1.1579","2.5658","585"
"Spain","Spain LIGA BBVA","2009/2010","38","20","1.6000","1.1132","2.7132","1031"
"Switzerland","Switzerland Super League","2009/2010","36","10","1.9944","1.3333","3.3278","599"
"Belgium","Belgium Jupiler League","2010/2011","30","16","1.5917","1.0542","2.6458","635"
"England","England Premier League","2010/2011","38","20","1.6237","1.1737","2.7974","1063"
"France","France Ligue 1","2010/2011","38","20","1.3421","1.0000","2.3421","890"
"Germany","Germany 1. Bundesliga","2010/2011","34","18","1.6471","1.2745","2.9216","894"
"Italy","Italy Serie A","2010/2011","38","20","1.4316","1.0816","2.5132","955"
"Netherlands","Netherlands Eredivisie","2010/2011","34","18","1.9444","1.2810","3.2255","987"
"Poland","Poland Ekstraklasa","2010/2011","30","15","1.5042","0.9042","2.4083","578"
"Portugal","Portugal Liga ZON Sagres","2010/2011","30","15","1.3125","1.1208","2.4333","584"
"Scotland","Scotland Premier League","2010/2011","38","12","1.3816","1.1798","2.5614","584"
"Spain","Spain LIGA BBVA","2010/2011","38","20","1.6368","1.1053","2.7421","1042"
"Switzerland","Switzerland Super League","2010/2011","36","10","1.5722","1.4111","2.9833","537"
"Belgium","Belgium Jupiler League","2011/2012","30","16","1.7542","1.1250","2.8792","691"
"England","England Premier League","2011/2012","38","20","1.5895","1.2158","2.8053","1066"
"France","France Ligue 1","2011/2012","38","20","1.4737","1.0421","2.5158","956"
"Germany","Germany 1. Bundesliga","2011/2012","34","18","1.6601","1.1993","2.8595","875"
"Italy","Italy Serie A","2011/2012","38","20","1.5112","1.0726","2.5838","925"
"Netherlands","Netherlands Eredivisie","2011/2012","34","18","1.9118","1.3464","3.2582","997"
"Poland","Poland Ekstraklasa","2011/2012","30","15","1.2417","0.9542","2.1958","527"
"Portugal","Portugal Liga ZON Sagres","2011/2012","30","15","1.4958","1.1458","2.6417","634"
"Scotland","Scotland Premier League","2011/2012","38","12","1.3816","1.2544","2.6360","601"
"Spain","Spain LIGA BBVA","2011/2012","38","20","1.6789","1.0842","2.7632","1050"
"Switzerland","Switzerland Super League","2011/2012","36","10","1.4506","1.1728","2.6235","425"
"Belgium","Belgium Jupiler League","2012/2013","30","16","1.5625","1.3667","2.9292","703"
"England","England Premier League","2012/2013","38","20","1.5579","1.2395","2.7974","1063"
"France","France Ligue 1","2012/2013","38","20","1.4684","1.0763","2.5447","967"
"Germany","Germany 1. Bundesliga","2012/2013","34","18","1.5915","1.3431","2.9346","898"
"Italy","Italy Serie A","2012/2013","38","20","1.4947","1.1447","2.6395","1003"
"Netherlands","Netherlands Eredivisie","2012/2013","34","18","1.7647","1.3856","3.1503","964"
"Poland","Poland Ekstraklasa","2012/2013","30","16","1.3417","1.1500","2.4917","598"
"Portugal","Portugal Liga ZON Sagres","2012/2013","30","16","1.5042","1.2750","2.7792","667"
"Scotland","Scotland Premier League","2012/2013","38","12","1.4781","1.2544","2.7325","623"
"Spain","Spain LIGA BBVA","2012/2013","38","20","1.6868","1.1842","2.8711","1091"
"Switzerland","Switzerland Super League","2012/2013","36","10","1.5111","1.0556","2.5667","462"
"Belgium","Belgium Jupiler League","2013/2014","6","4","1.5000","1.0000","2.5000","30"
"England","England Premier League","2013/2014","38","20","1.5737","1.1947","2.7684","1052"
"France","France Ligue 1","2013/2014","38","20","1.4158","1.0395","2.4553","933"
"Germany","Germany 1. Bundesliga","2013/2014","34","18","1.7484","1.4118","3.1601","967"
"Italy","Italy Serie A","2013/2014","38","20","1.5368","1.1868","2.7237","1035"
"Netherlands","Netherlands Eredivisie","2013/2014","34","18","1.8562","1.3399","3.1961","978"
"Poland","Poland Ekstraklasa","2013/2014","30","16","1.5500","1.0917","2.6417","634"
"Portugal","Portugal Liga ZON Sagres","2013/2014","30","16","1.3292","1.0417","2.3708","569"
"Scotland","Scotland Premier League","2013/2014","38","12","1.5132","1.2325","2.7456","626"
"Spain","Spain LIGA BBVA","2013/2014","38","20","1.6316","1.1184","2.7500","1045"
"Switzerland","Switzerland Super League","2013/2014","36","10","1.6111","1.2778","2.8889","520"
"Belgium","Belgium Jupiler League","2014/2015","30","16","1.5667","1.2167","2.7833","668"
"England","England Premier League","2014/2015","38","20","1.4737","1.0921","2.5658","975"
"France","France Ligue 1","2014/2015","38","20","1.4105","1.0816","2.4921","947"
"Germany","Germany 1. Bundesliga","2014/2015","34","18","1.5882","1.1667","2.7549","843"
"Italy","Italy Serie A","2014/2015","38","20","1.4987","1.1873","2.6860","1018"
"Netherlands","Netherlands Eredivisie","2014/2015","34","18","1.6928","1.3856","3.0784","942"
"Poland","Poland Ekstraklasa","2014/2015","30","16","1.5167","1.1000","2.6167","628"
"Portugal","Portugal Liga ZON Sagres","2014/2015","34","18","1.4510","1.0425","2.4935","763"
"Scotland","Scotland Premier League","2014/2015","38","12","1.4474","1.1272","2.5746","587"
"Spain","Spain LIGA BBVA","2014/2015","38","20","1.5368","1.1184","2.6553","1009"
"Switzerland","Switzerland Super League","2014/2015","36","10","1.6056","1.2667","2.8722","517"
"Belgium","Belgium Jupiler League","2015/2016","30","16","1.6750","1.2167","2.8917","694"
"England","England Premier League","2015/2016","38","20","1.4921","1.2079","2.7000","1026"
"France","France Ligue 1","2015/2016","38","20","1.4368","1.0895","2.5263","960"
"Germany","Germany 1. Bundesliga","2015/2016","34","18","1.5654","1.2647","2.8301","866"
"Italy","Italy Serie A","2015/2016","38","20","1.4711","1.1053","2.5763","979"
"Netherlands","Netherlands Eredivisie","2015/2016","34","18","1.6307","1.3497","2.9804","912"
"Poland","Poland Ekstraklasa","2015/2016","30","15","1.4208","1.2250","2.6458","635"
"Portugal","Portugal Liga ZON Sagres","2015/2016","34","16","1.5131","1.2026","2.7157","831"
"Scotland","Scotland Premier League","2015/2016","38","12","1.5044","1.3465","2.8509","650"
"Spain","Spain LIGA BBVA","2015/2016","38","20","1.6184","1.1263","2.7447","1043"
"Switzerland","Switzerland Super League","2015/2016","36","9","1.7833","1.3611","3.1444","566"
